lat,lon,Total_Crimes,Total_Arrests,ASSAULT,BATTERY,BURGLARY,Damage,Trespass,HOMICIDE,MOTOR VEHICLE THEFT,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Summer,Winter,Spring
41.99039459,-87.75151761,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99039467,-87.70719991,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
41.99039761,-87.74833206,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0
41.99040637,-87.70582406,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99040971,-87.70493017,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99040998,-87.70497799,55,15,7,2,0,1,2,0,0,0,0,0,0,1,0,0,40,0,15,14,12
41.99041317,-87.70455861,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41.9904191,-87.70363895,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99042084,-87.70345501,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99042677,-87.70253534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99042779,-87.74833179,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
41.99043257,-87.70109702,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
41.99043473,-87.70099033,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99043828,-87.70014057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99044283,-87.78129042,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.99044426,-87.74833164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.99048095,-87.78811727,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99048901,-87.77891375,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41.99049755,-87.78814655,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99052109,-87.74833093,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41.99052278,-87.78136697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99052591,-87.70761428,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
