Crosswalk,CurbRamp,NoCurbRamp,NoSidewalk,Obstacle,Other,Signal,SurfaceProblem,lat,lon
0,2,0,0,0,0,0,0,41.888863,-87.66091
1,0,0,0,0,0,0,0,41.888927,-87.66091
0,1,0,0,0,0,0,0,41.888977,-87.660965
0,1,0,0,0,0,0,0,41.888992,-87.66095
1,0,0,0,0,0,0,0,41.889015,-87.66085
0,1,0,0,0,0,0,0,41.889034,-87.660484
0,1,0,0,0,0,0,0,41.889122,-87.66075
0,0,0,0,0,0,0,1,41.889137,-87.66096
0,0,0,0,0,0,0,1,41.88918,-87.66076
1,0,0,0,0,0,0,0,41.889805,-87.6655
0,1,0,0,0,0,0,0,41.889816,-87.66541
0,1,0,0,0,0,0,0,41.88982,-87.66554
0,1,0,0,0,0,0,0,41.889843,-87.665375
0,1,0,0,0,0,0,0,41.889847,-87.66557
1,0,0,0,0,0,0,0,41.889854,-87.66322
0,1,0,0,0,0,0,0,41.889854,-87.65985
0,1,0,0,0,0,0,0,41.88986,-87.66329
0,1,0,0,0,0,0,0,41.88986,-87.66317
1,0,0,0,0,0,0,0,41.889862,-87.66088
0,1,0,0,0,0,0,0,41.889866,-87.660805
0,2,0,0,0,0,0,0,41.889866,-87.660965
0,0,0,0,0,0,0,1,41.889874,-87.6603
0,2,0,0,0,0,0,0,41.889877,-87.66099
0,0,0,0,0,0,0,1,41.88988,-87.660484
0,1,0,0,0,0,0,0,41.88988,-87.660164
0,2,0,0,0,0,0,0,41.889885,-87.6602
1,0,0,0,0,0,0,0,41.88989,-87.66224
0,1,0,0,0,0,0,0,41.88989,-87.65981
0,1,0,0,0,0,0,0,41.889893,-87.6623
0,1,0,0,0,0,0,0,41.889896,-87.662186
0,1,0,0,0,0,0,0,41.889904,-87.662155
1,0,0,0,0,0,0,0,41.889904,-87.66537
1,0,0,0,0,0,0,0,41.889904,-87.66558
0,1,0,0,0,0,0,0,41.889908,-87.66077
0,1,0,0,0,0,0,0,41.889908,-87.66233
2,0,0,0,0,0,0,0,41.889935,-87.66018
2,0,0,0,0,0,0,0,41.88994,-87.66075
