Crosswalk,CurbRamp,NoCurbRamp,NoSidewalk,Obstacle,Other,Signal,SurfaceProblem,lat,lon
0,0,0,2,0,0,0,0,41.463844,-87.6957
0,0,0,5,0,0,0,0,41.46389,-87.69585
0,0,0,0,3,0,0,0,41.4639,-87.669815
0,0,3,0,0,0,0,0,41.463917,-87.67097
0,0,0,0,5,0,0,0,41.463936,-87.69576
0,0,0,2,0,0,0,0,41.463943,-87.69557
0,0,0,2,0,0,0,0,41.464077,-87.69548
0,0,0,2,0,0,0,0,41.464176,-87.69532
0,0,0,5,0,0,0,0,41.46422,-87.68272
0,0,0,5,0,0,0,0,41.464264,-87.682884
0,0,0,5,0,0,0,0,41.46427,-87.68256
0,0,0,2,0,0,0,0,41.464287,-87.69517
0,0,0,2,0,0,0,0,41.464394,-87.69504
0,0,0,5,0,0,0,4,41.46451,-87.68265
0,0,0,2,0,0,0,0,41.464516,-87.69486
0,0,0,2,0,0,0,0,41.464626,-87.69471
0,0,0,2,0,0,0,0,41.464714,-87.69456
0,3,0,0,0,0,0,0,41.46474,-87.69492
0,0,0,2,0,0,0,0,41.46476,-87.69437
0,0,0,2,0,0,0,0,41.464806,-87.69421
0,0,0,2,0,0,0,0,41.464863,-87.69402
0,0,0,2,0,0,0,0,41.464897,-87.693855
0,0,0,2,0,0,0,0,41.464928,-87.69367
0,0,0,5,0,0,0,0,41.464954,-87.6828
0,0,0,2,0,0,0,0,41.46497,-87.69353
0,0,0,2,0,0,0,0,41.46501,-87.693375
0,0,0,2,0,0,0,0,41.465046,-87.69319
0,0,0,5,0,0,0,0,41.46505,-87.68274
0,0,0,2,0,0,0,0,41.465096,-87.69294
0,1,0,0,0,0,0,0,41.465157,-87.69339
0,0,0,2,0,0,0,0,41.46516,-87.69275
1,0,0,0,0,0,0,0,41.46517,-87.69329
0,1,0,0,0,0,0,0,41.465176,-87.6932
0,0,0,5,0,0,0,0,41.465176,-87.68276
0,0,0,2,0,0,0,0,41.46522,-87.692566
0,0,0,5,0,0,0,0,41.46525,-87.682785
0,0,0,2,0,0,0,0,41.465282,-87.69239
0,0,0,5,0,0,0,0,41.465336,-87.682846
0,0,0,2,0,0,0,0,41.465355,-87.692184
0,0,0,2,0,0,0,0,41.46542,-87.69201
0,0,0,2,0,0,0,0,41.46549,-87.69179
0,0,0,5,0,0,0,0,41.4655,-87.68297
0,0,0,5,0,0,0,0,41.465527,-87.68333
0,0,0,2,0,0,0,0,41.465572,-87.69154
0,0,0,2,0,0,0,0,41.465645,-87.691345
0,0,0,3,0,0,0,0,41.465656,-87.683075
0,0,0,2,0,0,0,0,41.46572,-87.69115
0,0,0,2,0,0,0,0,41.465797,-87.69094
0,0,0,2,0,0,0,0,41.465866,-87.69071
0,0,0,5,0,0,0,0,41.465878,-87.68324
0,0,0,2,0,0,0,0,41.465935,-87.69052
0,1,0,0,0,0,0,0,41.465996,-87.693436
0,0,0,2,0,0,0,0,41.46601,-87.690285
1,0,0,0,0,0,0,0,41.46603,-87.69345
0,0,0,2,0,0,0,0,41.46605,-87.69001
0,0,0,0,0,0,0,2,41.46606,-87.693214
0,0,0,2,0,0,0,0,41.46606,-87.68958
0,0,0,2,0,0,0,0,41.466064,-87.68978
0,1,0,0,0,0,0,0,41.466072,-87.69346
0,0,0,2,0,0,0,0,41.466087,-87.6894
0,0,0,0,0,0,0,1,41.46609,-87.6934
0,0,0,0,0,0,0,2,41.466095,-87.69315
0,0,0,0,3,0,0,0,41.466095,-87.69055
0,0,0,2,0,0,0,0,41.4661,-87.689186
0,0,0,2,0,0,0,0,41.46612,-87.68899
0,0,0,2,0,0,0,0,41.466145,-87.68879
0,0,0,0,3,0,0,0,41.466152,-87.69297
0,0,0,0,0,0,0,2,41.466175,-87.692924
0,0,0,2,0,0,0,0,41.46619,-87.68855
0,0,0,4,0,0,0,0,41.466225,-87.68328
0,0,0,2,0,0,0,0,41.466244,-87.688324
0,0,0,0,2,0,0,0,41.466248,-87.692894
0,0,0,4,0,0,0,0,41.466248,-87.68341
0,0,0,0,2,0,0,0,41.466263,-87.69253
0,0,0,0,0,0,0,3,41.466263,-87.68904
0,0,0,0,0,0,0,2,41.466274,-87.692665
0,0,0,0,2,0,0,0,41.46628,-87.692665
0,0,0,4,0,0,0,0,41.466328,-87.68325
0,0,0,0,2,0,0,0,41.46634,-87.69232
0,0,0,0,2,0,0,0,41.466354,-87.69251
0,0,0,2,0,0,0,0,41.46645,-87.68739
0,0,0,2,0,0,0,0,41.466507,-87.687195
0,0,0,0,5,0,0,0,41.46652,-87.69198
0,0,0,2,0,0,0,0,41.46654,-87.68697
0,0,0,0,5,0,0,0,41.46656,-87.691864
0,0,0,2,0,0,0,0,41.46659,-87.68675
0,0,0,2,0,0,0,0,41.46665,-87.68658
0,0,0,2,0,0,0,0,41.466736,-87.68637
1,0,0,0,0,0,0,0,41.466774,-87.695076
0,2,0,0,0,0,0,0,41.466778,-87.69514
0,0,0,0,0,0,0,2,41.466785,-87.69478
0,2,0,0,0,0,0,0,41.46679,-87.69502
0,1,0,0,0,0,0,0,41.466816,-87.69376
0,1,0,0,0,0,0,0,41.46683,-87.69403
1,0,0,0,0,0,0,0,41.466846,-87.69516
0,0,0,2,0,0,0,0,41.466846,-87.686226
0,1,0,0,0,0,0,0,41.46685,-87.69409
1,0,0,0,0,0,0,0,41.466854,-87.69393
0,1,0,0,0,0,0,0,41.466858,-87.69401
0,1,0,0,0,0,0,0,41.46686,-87.69379
0,1,0,0,0,0,0,0,41.46687,-87.693825
0,0,0,0,5,0,0,0,41.46687,-87.69084
0,1,0,0,0,0,0,0,41.46688,-87.69404
0,1,0,0,0,0,0,0,41.466892,-87.69377
0,2,0,0,0,0,0,0,41.466904,-87.69502
0,2,0,0,0,0,0,0,41.46691,-87.695145
1,0,0,0,0,0,0,0,41.466915,-87.69408
1,0,0,0,0,0,0,0,41.466923,-87.69509
1,0,0,0,0,0,0,0,41.466923,-87.693794
0,0,0,0,0,0,0,2,41.466927,-87.69502
0,2,0,0,0,0,0,0,41.466927,-87.69506
0,0,0,0,4,0,0,0,41.466927,-87.69061
0,0,0,0,5,0,0,0,41.466927,-87.690056
0,0,0,2,0,0,0,0,41.466938,-87.686035
