Crosswalk,CurbRamp,NoCurbRamp,NoSidewalk,Obstacle,Other,Signal,SurfaceProblem,lat,lon
1,0,0,0,0,0,0,0,41.769253,-87.6103
1,0,0,0,0,0,0,0,41.769264,-87.61053
0,1,0,0,0,0,0,0,41.769295,-87.61058
0,1,0,0,0,0,0,0,41.769318,-87.610245
0,0,0,0,3,0,0,0,41.769325,-87.60967
0,1,0,0,0,0,0,0,41.76936,-87.61026
0,0,0,0,4,0,0,0,41.76936,-87.60982
0,2,0,0,0,0,0,0,41.769382,-87.61062
0,0,0,0,0,0,0,4,41.769382,-87.60936
0,0,5,0,0,0,0,0,41.769394,-87.60945
0,0,5,0,0,0,0,0,41.769398,-87.60924
0,2,0,0,0,0,0,0,41.769413,-87.608246
1,0,0,0,0,0,0,0,41.769417,-87.610344
0,1,0,0,0,0,0,0,41.76946,-87.60585
0,1,0,0,0,0,0,0,41.769466,-87.61041
1,0,0,0,0,0,0,0,41.76947,-87.608246
1,0,0,0,0,0,0,0,41.769478,-87.61063
0,1,0,0,0,0,0,0,41.76949,-87.610435
0,1,0,0,0,0,0,0,41.769497,-87.609436
1,0,0,0,0,0,0,0,41.76951,-87.60585
0,4,0,0,0,0,0,0,41.76951,-87.60922
0,1,0,0,0,0,0,0,41.769516,-87.61046
0,1,0,0,0,0,0,0,41.76952,-87.610596
0,1,0,0,0,0,0,0,41.769524,-87.609406
0,2,0,0,0,0,0,0,41.769524,-87.60823
0,4,0,0,0,0,0,0,41.769524,-87.60803
2,0,0,0,0,0,0,0,41.769527,-87.60934
0,1,0,0,0,0,0,0,41.769527,-87.61054
0,4,0,0,0,0,0,0,41.769527,-87.60926
0,1,0,0,0,0,0,0,41.769527,-87.607086
0,0,0,0,2,0,0,0,41.769535,-87.60913
1,0,0,0,0,0,0,0,41.769535,-87.61052
0,3,0,0,0,0,0,0,41.769543,-87.60808
0,1,0,0,0,0,0,0,41.769543,-87.60704
0,1,0,0,0,0,0,0,41.769547,-87.60684
0,2,0,0,0,0,0,0,41.76955,-87.60819
0,1,0,0,0,0,0,0,41.76956,-87.60585
1,0,0,0,0,0,0,0,41.76956,-87.60815
1,0,0,0,0,0,0,0,41.769566,-87.60694
0,1,0,0,0,0,0,0,41.76957,-87.606895
0,1,0,0,0,0,0,0,41.76957,-87.606995
0,1,0,0,0,0,0,0,41.76957,-87.60637
0,0,0,0,0,0,0,3,41.769577,-87.60665
0,1,0,0,0,0,0,0,41.76958,-87.606316
0,2,0,0,0,0,0,0,41.76958,-87.60558
0,1,0,0,0,0,0,0,41.769585,-87.605804
0,0,0,0,0,0,0,3,41.769585,-87.606026
1,0,0,0,0,0,0,0,41.769585,-87.60569
2,0,0,0,0,0,0,0,41.769596,-87.60567
0,1,0,0,0,0,0,0,41.7696,-87.61057
0,1,0,0,0,0,0,0,41.769604,-87.61062
0,0,0,0,0,0,0,4,41.76971,-87.61064
0,0,0,0,0,0,0,3,41.769745,-87.61119
0,0,0,0,0,0,0,2,41.76982,-87.60553
0,0,0,0,4,0,0,0,41.769836,-87.610794
0,0,0,0,0,0,0,4,41.770348,-87.61066
0,1,0,0,0,0,0,0,41.77048,-87.612236
0,1,0,0,0,0,0,0,41.770508,-87.61221
1,0,0,0,0,0,0,0,41.77053,-87.61212
1,0,0,0,0,0,0,0,41.770546,-87.61229
1,0,0,0,0,0,0,0,41.770573,-87.6121
0,1,0,0,0,0,0,0,41.770576,-87.61234
0,0,0,0,0,1,0,0,41.770588,-87.61227
0,1,0,0,0,0,0,0,41.770603,-87.61233
0,1,0,0,0,0,0,0,41.770634,-87.61204
2,0,0,0,0,0,0,0,41.770657,-87.61227
0,1,0,0,0,0,0,0,41.770664,-87.612015
1,0,0,0,0,0,0,0,41.770683,-87.61222
1,0,0,0,0,0,0,0,41.770695,-87.612076
0,0,0,0,0,1,0,0,41.770725,-87.61222
0,1,0,0,0,0,0,0,41.770733,-87.61217
0,1,0,0,0,0,0,0,41.77074,-87.61212
0,0,0,0,4,0,0,0,41.770756,-87.6126
0,0,0,0,5,0,0,0,41.770775,-87.61184
0,0,0,0,4,0,0,0,41.770874,-87.61272
0,0,0,0,5,0,0,0,41.77093,-87.61194
0,0,0,0,0,0,0,2,41.77093,-87.60586
0,0,0,0,0,0,0,2,41.770935,-87.611664
0,0,2,0,0,0,0,0,41.77108,-87.611885
0,0,0,0,0,0,0,3,41.771103,-87.61188
0,3,0,0,0,0,0,0,41.771107,-87.61306
0,0,0,0,0,0,0,4,41.771145,-87.61273
0,1,0,0,0,0,0,0,41.77115,-87.61114
0,1,0,0,0,0,0,0,41.771152,-87.611206
0,1,0,0,0,0,0,0,41.771168,-87.61062
0,1,0,0,0,0,0,0,41.771168,-87.61052
0,1,0,0,0,0,0,0,41.771168,-87.611664
0,0,0,0,0,0,0,3,41.771168,-87.61315
1,0,0,0,0,0,0,0,41.771168,-87.610565
0,1,0,0,0,0,0,0,41.771187,-87.61046
0,3,0,0,0,0,0,0,41.77119,-87.609436
0,2,0,0,0,0,0,0,41.77119,-87.61067
0,1,0,0,0,0,0,0,41.77119,-87.6093
2,0,0,0,0,0,0,0,41.771194,-87.60937
0,1,0,0,0,0,0,0,41.771206,-87.608116
0,1,0,0,0,0,0,0,41.771206,-87.60824
0,2,0,0,0,0,0,0,41.771214,-87.609474
1,0,0,0,0,0,0,0,41.771217,-87.60817
1,0,0,0,0,0,0,0,41.77122,-87.611664
0,0,0,0,0,0,0,2,41.77122,-87.61283
0,2,0,0,0,0,0,0,41.77123,-87.60928
0,2,0,0,0,0,0,0,41.771233,-87.60703
2,0,0,0,0,0,0,0,41.771236,-87.60699
0,1,0,0,0,0,0,0,41.771236,-87.60808
1,0,0,0,0,0,0,0,41.771236,-87.610466
0,1,0,0,0,0,0,0,41.771236,-87.606926
1,0,0,0,0,0,0,0,41.77124,-87.605705
2,0,0,0,0,0,0,0,41.77124,-87.61068
0,1,0,0,0,0,0,0,41.77124,-87.60828
0,2,0,0,0,0,0,0,41.771248,-87.60563
0,2,0,0,0,0,0,0,41.771248,-87.60708
0,2,0,0,0,0,0,0,41.77125,-87.605835
1,0,0,0,0,0,0,0,41.77125,-87.60576
0,1,0,0,0,0,0,0,41.77125,-87.60689
0,1,0,0,0,0,0,0,41.771263,-87.60587
0,0,0,0,0,0,0,4,41.771263,-87.61329
0,2,0,0,0,0,0,0,41.771263,-87.6129
2,0,0,0,0,0,0,0,41.771263,-87.60947
2,0,0,0,0,0,0,0,41.771282,-87.60926
0,1,0,0,0,0,0,0,41.771286,-87.61167
1,0,0,0,0,0,0,0,41.77129,-87.608284
2,0,0,0,0,0,0,0,41.77129,-87.60707
2,0,0,0,0,0,0,0,41.771294,-87.60807
0,3,0,0,0,0,0,0,41.771297,-87.610664
0,2,0,0,0,0,0,0,41.7713,-87.61292
1,0,0,0,0,0,0,0,41.771305,-87.61176
0,1,0,0,0,0,0,0,41.771305,-87.61045
2,0,0,0,0,0,0,0,41.77131,-87.60689
0,1,0,0,0,0,0,0,41.77131,-87.611725
0,1,0,0,0,0,0,0,41.771317,-87.61114
