Crosswalk,CurbRamp,NoCurbRamp,NoSidewalk,Obstacle,Other,Signal,SurfaceProblem,lat,lon
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.792133,-87.66457
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.792137,-87.66468
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.792145,-87.66442
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79217,-87.66471
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79217,-87.6644
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.792213,-87.66439
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.792217,-87.66469
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.792255,-87.6644
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.792255,-87.6647
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.792282,-87.66443
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.792286,-87.66468
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79229,-87.66453
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.792305,-87.66466
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.79243,-87.664406
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.793015,-87.6647
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793583,-87.66461
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793602,-87.66471
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793602,-87.66336
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793606,-87.66326
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79361,-87.66342
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79361,-87.664444
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79362,-87.66471
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793636,-87.66325
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793636,-87.66347
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793648,-87.66447
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793655,-87.66447
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793655,-87.66472
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793674,-87.66342
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79368,-87.66327
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79371,-87.66441
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79372,-87.66324
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79372,-87.66472
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.793724,-87.663475
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,41.793728,-87.66495
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.793934,-87.66471
