lat,lon,Total_Crimes,Summer,Winter,Spring
41.88681078,-87.62492433,1,0,1,0
41.88681234,-87.62517772,8,4,1,0
41.88681327,-87.62532828,5,1,3,1
41.88681349,-87.625365,1,0,1,0
41.88681401,-87.62589383,1,1,0,0
41.88681442,-87.62551556,1,0,1,0
41.88681452,-87.63359133,3,3,0,0
41.88681467,-87.62555596,8,0,5,0
41.88681478,-87.62557432,1,0,0,1
41.8868149,-87.62559268,3,0,2,0
41.8868151,-87.62562573,1,0,0,1
41.88681512,-87.6256294,5,0,2,2
41.8868152,-87.64094728,1,0,0,1
41.88681546,-87.62836172,20,6,8,2
41.88681551,-87.63285315,5,0,4,0
41.88681562,-87.63152371,27,2,13,9
41.88681605,-87.62577996,1,0,1,0
41.88681608,-87.64109417,1,0,1,0
41.88681649,-87.6343662,12,1,1,4
41.88681656,-87.63167795,6,1,2,0
41.88681669,-87.63035218,3,2,0,0
41.88681673,-87.62856736,1,0,0,0
41.88681677,-87.631711,1,0,0,0
41.88681678,-87.63441394,2,0,1,1
41.886817,-87.62905947,12,7,1,1
41.88681718,-87.62998493,2,0,1,0
41.88681723,-87.63448738,1,0,0,1
41.88681743,-87.63452043,2,2,0,0
41.88681772,-87.63456817,1,0,0,0
41.88681772,-87.63007306,5,1,1,2
41.88681799,-87.62877301,1,0,0,0
41.88681801,-87.63416419,1,1,0,0
41.88681815,-87.63059088,1,0,1,0
41.88681835,-87.63467099,1,1,0,0
41.8868185,-87.63424498,5,0,1,0
41.88682005,-87.63495008,2,0,1,0
41.88682009,-87.63495743,1,0,0,1
41.8868203,-87.62069721,1,1,0,0
41.88682031,-87.63499415,1,0,1,0
41.88682049,-87.63502353,1,0,0,0
41.88682279,-87.6277667,1,0,0,0
41.88682359,-87.63508225,1,0,0,1
41.88683127,-87.62069709,1,0,0,0
41.88683248,-87.62755726,4,1,0,1
41.8868367,-87.62735155,1,1,0,0
41.88684637,-87.63476617,1,0,0,0
41.88684911,-87.63476614,1,0,0,0
41.8868505,-87.62070055,1,0,0,0
41.88686381,-87.6268518,13,6,1,2
41.88687995,-87.62635216,1,1,0,0
41.88690933,-87.62666767,2,0,0,1
41.88691562,-87.61661236,5,1,1,0
41.88692851,-87.63428418,1,0,0,0
41.88692882,-87.63208436,1,0,1,0
41.88693048,-87.63325587,1,0,0,1
41.88693078,-87.63285556,3,0,2,1
41.8869311,-87.63155917,2,1,0,0
41.88693111,-87.63021505,1,0,0,1
