Lat,Lon,Total_Crimes,Total_Arrests,ASSAULT,BATTERY,BURGLARY,Damage,Trespass,HOMICIDE,MOTOR VEHICLE THEFT,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Summer,Winter,Spring
41.773208215,-87.598992524,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.77321394,-87.598171279,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.773221021,-87.597562645,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.773229456,-87.596737703,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773229574,-87.596756032,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
41.773255843,-87.59400991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.773273248,-87.592451667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.77329663,-87.590123498,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
41.773298022,-87.589914521,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773298544,-87.589995166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773314016,-87.588147331,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.773315666,-87.587978676,13,4,2,1,0,1,2,1,0,0,0,0,0,1,0,0,2,1,1,8,2
41.773315928,-87.588018999,10,2,2,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,3,4,1
41.773320568,-87.587465382,10,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,4,0,0,4,4
41.773321401,-87.587593682,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.773322503,-87.587340716,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.77332305,-87.587425027,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
41.773809509,-87.588805144,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.773864414,-87.588808175,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
41.773875391,-87.588808048,4,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1
41.773889111,-87.588807889,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773967711,-87.605788001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773979206,-87.604570751,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.773984175,-87.605787815,4,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1
41.773990688,-87.603353501,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
41.774009896,-87.603353283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.774034088,-87.60457013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41.774035566,-87.600918749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41.774042022,-87.598491765,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.77404557,-87.603352878,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.77405332,-87.604573578,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0
41.774064802,-87.603356326,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.774069904,-87.597274325,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.774072528,-87.604573361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
